history:history,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy:oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
Textname,Genre
tesserae/texts/la/ammianus.rerum_gestarum/ammianus.rerum_gestarum.part.14.tess,history
tesserae/texts/la/ammianus.rerum_gestarum/ammianus.rerum_gestarum.part.15.tess,history
tesserae/texts/la/ammianus.rerum_gestarum/ammianus.rerum_gestarum.part.16.tess,history
tesserae/texts/la/ammianus.rerum_gestarum/ammianus.rerum_gestarum.part.17.tess,history
tesserae/texts/la/ammianus.rerum_gestarum/ammianus.rerum_gestarum.part.18.tess,history
tesserae/texts/la/ammianus.rerum_gestarum/ammianus.rerum_gestarum.part.19.tess,history
tesserae/texts/la/ammianus.rerum_gestarum/ammianus.rerum_gestarum.part.20.tess,history
tesserae/texts/la/ammianus.rerum_gestarum/ammianus.rerum_gestarum.part.21.tess,history
tesserae/texts/la/ammianus.rerum_gestarum/ammianus.rerum_gestarum.part.22.tess,history
tesserae/texts/la/ammianus.rerum_gestarum/ammianus.rerum_gestarum.part.23.tess,history
tesserae/texts/la/ammianus.rerum_gestarum/ammianus.rerum_gestarum.part.24.tess,history
tesserae/texts/la/ammianus.rerum_gestarum/ammianus.rerum_gestarum.part.25.tess,history
tesserae/texts/la/ammianus.rerum_gestarum/ammianus.rerum_gestarum.part.26.tess,history
tesserae/texts/la/ammianus.rerum_gestarum/ammianus.rerum_gestarum.part.27.tess,history
tesserae/texts/la/ammianus.rerum_gestarum/ammianus.rerum_gestarum.part.28.tess,history
tesserae/texts/la/ammianus.rerum_gestarum/ammianus.rerum_gestarum.part.29.tess,history
tesserae/texts/la/ammianus.rerum_gestarum/ammianus.rerum_gestarum.part.30.tess,history
tesserae/texts/la/ammianus.rerum_gestarum/ammianus.rerum_gestarum.part.31.tess,history
tesserae/texts/la/apuleius.apologia.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/apuleius.florida.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/apuleius.metamorphoses/apuleius.metamorphoses.part.1.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/apuleius.metamorphoses/apuleius.metamorphoses.part.10.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/apuleius.metamorphoses/apuleius.metamorphoses.part.11.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/apuleius.metamorphoses/apuleius.metamorphoses.part.2.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/apuleius.metamorphoses/apuleius.metamorphoses.part.3.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/apuleius.metamorphoses/apuleius.metamorphoses.part.4.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/apuleius.metamorphoses/apuleius.metamorphoses.part.5.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/apuleius.metamorphoses/apuleius.metamorphoses.part.6.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/apuleius.metamorphoses/apuleius.metamorphoses.part.7.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/apuleius.metamorphoses/apuleius.metamorphoses.part.8.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/apuleius.metamorphoses/apuleius.metamorphoses.part.9.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/augustine.epistulae_selections/augustine.epistulae_selections.part.1.1-10.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/augustine.epistulae_selections/augustine.epistulae_selections.part.2.11-20.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/augustine.epistulae_selections/augustine.epistulae_selections.part.3.21-30.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/augustine.epistulae_selections/augustine.epistulae_selections.part.4.31-40.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/augustine.epistulae_selections/augustine.epistulae_selections.part.5.41-50.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/augustine.epistulae_selections/augustine.epistulae_selections.part.6.51-62.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/caesar.de_bello_civili/caesar.de_bello_civili.part.1.tess,history
tesserae/texts/la/caesar.de_bello_civili/caesar.de_bello_civili.part.2.tess,history
tesserae/texts/la/caesar.de_bello_civili/caesar.de_bello_civili.part.3.tess,history
tesserae/texts/la/caesar.de_bello_gallico/caesar.de_bello_gallico.part.1.tess,history
tesserae/texts/la/caesar.de_bello_gallico/caesar.de_bello_gallico.part.2.tess,history
tesserae/texts/la/caesar.de_bello_gallico/caesar.de_bello_gallico.part.3.tess,history
tesserae/texts/la/caesar.de_bello_gallico/caesar.de_bello_gallico.part.4.tess,history
tesserae/texts/la/caesar.de_bello_gallico/caesar.de_bello_gallico.part.5.tess,history
tesserae/texts/la/caesar.de_bello_gallico/caesar.de_bello_gallico.part.6.tess,history
tesserae/texts/la/caesar.de_bello_gallico/caesar.de_bello_gallico.part.7.tess,history
tesserae/texts/la/caesar.de_bello_gallico/caesar.de_bello_gallico.part.8.tess,history
tesserae/texts/la/caesar_augustus.res_gestae_divi_augusti.tess,history
tesserae/texts/la/celsus.de_medicina/celsus.de_medicina.part.1.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/celsus.de_medicina/celsus.de_medicina.part.2.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/celsus.de_medicina/celsus.de_medicina.part.3.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/celsus.de_medicina/celsus.de_medicina.part.4.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/celsus.de_medicina/celsus.de_medicina.part.5.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/celsus.de_medicina/celsus.de_medicina.part.6.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/celsus.de_medicina/celsus.de_medicina.part.7.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/celsus.de_medicina/celsus.de_medicina.part.8.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/cicero.academica.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/cicero.brutus.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/cicero.cum_populo_gratias_egit.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/cicero.de_amicitia.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/cicero.de_divinatione.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/cicero.de_domo_sua.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/cicero.de_fato.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/cicero.de_finibus_bonorum_et_malorum/cicero.de_finibus_bonorum_et_malorum.part.1.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/cicero.de_finibus_bonorum_et_malorum/cicero.de_finibus_bonorum_et_malorum.part.2.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/cicero.de_finibus_bonorum_et_malorum/cicero.de_finibus_bonorum_et_malorum.part.3.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/cicero.de_finibus_bonorum_et_malorum/cicero.de_finibus_bonorum_et_malorum.part.4.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/cicero.de_finibus_bonorum_et_malorum/cicero.de_finibus_bonorum_et_malorum.part.5.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/cicero.de_haruspicum_responso.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/cicero.de_imperio_cn_pompei.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/cicero.de_inventione/cicero.de_inventione.part.1.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/cicero.de_inventione/cicero.de_inventione.part.2.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/cicero.de_lege_agraria_contra_rullum.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/cicero.de_natura_deorum/cicero.de_natura_deorum.part.1.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/cicero.de_natura_deorum/cicero.de_natura_deorum.part.2.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/cicero.de_natura_deorum/cicero.de_natura_deorum.part.3.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/cicero.de_officiis/cicero.de_officiis.part.1.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/cicero.de_officiis/cicero.de_officiis.part.2.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/cicero.de_officiis/cicero.de_officiis.part.3.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/cicero.de_optimo_genere_oratorum.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/cicero.de_oratore/cicero.de_oratore.part.1.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/cicero.de_oratore/cicero.de_oratore.part.2.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/cicero.de_oratore/cicero.de_oratore.part.3.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/cicero.de_partitione_oratoria.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/cicero.de_provinciis_consularibus.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/cicero.de_republica.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/cicero.de_senectute.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/cicero.divinatio_in_c_verrem/cicero.divinatio_in_c_verrem.part.1.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/cicero.divinatio_in_c_verrem/cicero.divinatio_in_c_verrem.part.2.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/cicero.divinatio_in_c_verrem/cicero.divinatio_in_c_verrem.part.3.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/cicero.divinatio_in_c_verrem/cicero.divinatio_in_c_verrem.part.4.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/cicero.divinatio_in_c_verrem/cicero.divinatio_in_c_verrem.part.5.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/cicero.divinatio_in_c_verrem/cicero.divinatio_in_c_verrem.part.6.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/cicero.divinatio_in_q_caecilium.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/cicero.epistulae_ad_familiares/cicero.epistulae_ad_familiares.part.1.ad_lentulum.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/cicero.epistulae_ad_familiares/cicero.epistulae_ad_familiares.part.10.ad_plancum_et_ceteros.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/cicero.epistulae_ad_familiares/cicero.epistulae_ad_familiares.part.11.at_brutum_et_ceteros.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/cicero.epistulae_ad_familiares/cicero.epistulae_ad_familiares.part.12.ad_cassium_et_ceteros.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/cicero.epistulae_ad_familiares/cicero.epistulae_ad_familiares.part.13.ad_memmium_et_ceteros.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/cicero.epistulae_ad_familiares/cicero.epistulae_ad_familiares.part.14.ad_terentiam_uxorem.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/cicero.epistulae_ad_familiares/cicero.epistulae_ad_familiares.part.15.ad_senatum_et_ceteros.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/cicero.epistulae_ad_familiares/cicero.epistulae_ad_familiares.part.16.ad_tironem.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/cicero.epistulae_ad_familiares/cicero.epistulae_ad_familiares.part.2.ad_curionem_et_ceteros.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/cicero.epistulae_ad_familiares/cicero.epistulae_ad_familiares.part.3.ad_claudium_pulchrum.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/cicero.epistulae_ad_familiares/cicero.epistulae_ad_familiares.part.4.ad_sulpicium_et_ceteros.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/cicero.epistulae_ad_familiares/cicero.epistulae_ad_familiares.part.5.ad_metellum_et_ceteros.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/cicero.epistulae_ad_familiares/cicero.epistulae_ad_familiares.part.6.ad_torquatum_et_ceteros.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/cicero.epistulae_ad_familiares/cicero.epistulae_ad_familiares.part.7.ad_marium_et_ceteros.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/cicero.epistulae_ad_familiares/cicero.epistulae_ad_familiares.part.8.caeli_epistulae_ad_ciceronem.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/cicero.epistulae_ad_familiares/cicero.epistulae_ad_familiares.part.9.ad_varronem_et_ceteros.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/cicero.in_catilinam.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/cicero.in_l_pisonem.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/cicero.in_vatinium.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/cicero.letters_to_atticus/cicero.letters_to_atticus.part.1.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/cicero.letters_to_atticus/cicero.letters_to_atticus.part.10.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/cicero.letters_to_atticus/cicero.letters_to_atticus.part.11.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/cicero.letters_to_atticus/cicero.letters_to_atticus.part.12.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/cicero.letters_to_atticus/cicero.letters_to_atticus.part.13.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/cicero.letters_to_atticus/cicero.letters_to_atticus.part.14.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/cicero.letters_to_atticus/cicero.letters_to_atticus.part.15.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/cicero.letters_to_atticus/cicero.letters_to_atticus.part.16.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/cicero.letters_to_atticus/cicero.letters_to_atticus.part.2.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/cicero.letters_to_atticus/cicero.letters_to_atticus.part.3.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/cicero.letters_to_atticus/cicero.letters_to_atticus.part.4.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/cicero.letters_to_atticus/cicero.letters_to_atticus.part.5.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/cicero.letters_to_atticus/cicero.letters_to_atticus.part.6.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/cicero.letters_to_atticus/cicero.letters_to_atticus.part.7.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/cicero.letters_to_atticus/cicero.letters_to_atticus.part.8.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/cicero.letters_to_atticus/cicero.letters_to_atticus.part.9.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/cicero.letters_to_brutus.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/cicero.letters_to_quintus.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/cicero.lucullus.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/cicero.orator.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/cicero.paradoxa_stoicorum_ad_m_brutum.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/cicero.philippicae/cicero.philippicae.part.1.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/cicero.philippicae/cicero.philippicae.part.10.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/cicero.philippicae/cicero.philippicae.part.11.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/cicero.philippicae/cicero.philippicae.part.12.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/cicero.philippicae/cicero.philippicae.part.13.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/cicero.philippicae/cicero.philippicae.part.14.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/cicero.philippicae/cicero.philippicae.part.2.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/cicero.philippicae/cicero.philippicae.part.3.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/cicero.philippicae/cicero.philippicae.part.4.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/cicero.philippicae/cicero.philippicae.part.5.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/cicero.philippicae/cicero.philippicae.part.6.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/cicero.philippicae/cicero.philippicae.part.7.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/cicero.philippicae/cicero.philippicae.part.8.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/cicero.philippicae/cicero.philippicae.part.9.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/cicero.post_reditum_in_senatu.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/cicero.pro_a_caecina.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/cicero.pro_a_cluentio.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/cicero.pro_archia.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/cicero.pro_balbo.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/cicero.pro_c_rabirio.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/cicero.pro_c_rabirio_postumo.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/cicero.pro_fonteio.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/cicero.pro_l_flacco.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/cicero.pro_ligario.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/cicero.pro_m_caelio.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/cicero.pro_marcello.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/cicero.pro_milone.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/cicero.pro_murena.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/cicero.pro_plancio.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/cicero.pro_publio_quinctio.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/cicero.pro_q_roscio_comoedo.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/cicero.pro_rege_deiotaro.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/cicero.pro_s_roscio.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/cicero.pro_scauro.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/cicero.pro_sestio.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/cicero.pro_sulla.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/cicero.pro_tullio.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/cicero.timaeus.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/cicero.topica.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/cicero.tusculanae_disputationes/cicero.tusculanae_disputationes.part.1.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/cicero.tusculanae_disputationes/cicero.tusculanae_disputationes.part.2.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
